Rank,EdgeId,EdgeIdRc,Length,CumulativeLength,LengthFraction,CumulativeFraction
0,22,23,21973,21973,0.0902593,0.0902593
1,4,5,19617,41590,0.0805815,0.170841
2,42,43,16844,58434,0.0691907,0.240032
3,24,25,16099,74533,0.0661305,0.306162
4,52,53,14529,89062,0.0596813,0.365843
5,50,51,11801,100863,0.0484754,0.414319
6,32,33,11760,112623,0.048307,0.462626
7,0,1,10904,123527,0.0447908,0.507417
8,68,69,9979,133506,0.0409911,0.548408
9,62,63,9822,143328,0.0403462,0.588754
10,20,21,9352,152680,0.0384156,0.627169
11,44,45,9043,161723,0.0371463,0.664316
12,30,31,7839,169562,0.0322006,0.696516
13,38,39,7676,177238,0.031531,0.728047
14,46,47,7375,184613,0.0302946,0.758342
15,18,19,7289,191902,0.0299413,0.788283
16,60,61,6514,198416,0.0267578,0.815041
17,66,67,5681,204097,0.0233361,0.838377
18,34,35,5308,209405,0.0218039,0.860181
19,6,7,5234,214639,0.0214999,0.881681
20,70,71,5003,219642,0.020551,0.902232
21,2,3,4856,224498,0.0199472,0.922179
22,12,13,3649,228147,0.0149891,0.937168
23,36,37,3331,231478,0.0136829,0.950851
24,14,15,3049,234527,0.0125245,0.963375
25,28,29,2663,237190,0.0109389,0.974314
26,40,41,1830,239020,0.00751716,0.981831
27,8,9,1372,240392,0.00563582,0.987467
28,26,27,1229,241621,0.00504841,0.992516
29,10,11,467,242088,0.00191831,0.994434
30,16,17,428,242516,0.00175811,0.996192
31,64,65,300,242816,0.00123232,0.997424
32,54,55,274,243090,0.00112552,0.99855
33,48,49,191,243281,0.000784578,0.999335
34,58,59,84,243365,0.00034505,0.99968
35,56,57,78,243443,0.000320404,1
